var,xgb_importance.Overall,mean_cor,pct_na,boruta
full_sq,100,0.0160074816986376,0,Confirmed
num_room,10.0899384450876,0.000741106132627867,0.251016180211365,Rejected
cafe_count_5000_price_high,5.91612017321323,0.205584767139293,0,Confirmed
cafe_count_5000_price_2500,5.80203805954166,0.212413425343842,0,Confirmed
life_sq,4.25833424804395,0.0107783464667729,0.19822725723127,Confirmed
cafe_count_2000,3.20061188846503,0.231501859972987,0,Confirmed
metro_min_avto,3.17244688613836,-0.00229021637509502,0,Confirmed
ttk_km,3.11661610581613,-0.0443222263100054,0,Confirmed
id,3.05252794293478,-0.066834164874587,0,Confirmed
floor,3.03120293263493,-0.00852733341317305,0.00437940891091705,Confirmed
build_year,2.81326263987818,0.00335821249281436,0.384286575931608,Confirmed
sport_count_3000,2.59568840568232,0.180268138873842,0,Confirmed
cafe_count_3000,2.52862308926187,0.230524788042587,0,Confirmed
metro_km_avto,2.17862109424271,0.00838702813917343,0,Confirmed
green_zone_km,2.03522291925264,-0.0260864791500162,0,Confirmed
public_healthcare_km,1.89750977365494,0.0144277539480823,0,Confirmed
cafe_count_5000,1.81789019532259,0.21158553070374,0,Confirmed
kindergarten_km,1.77622632322825,0.0179372376904946,0,Confirmed
product_type,1.75117093313603,,0.000865392180001573,Confirmed
railroad_km,1.7485011804037,0.00938858422982002,0,Confirmed
max_floor,1.74243852882991,-0.0166878582106184,0.251016180211365,Rejected
state,1.5625988190092,-0.00521414574946199,0.373770749744316,Tentative
big_road2_km,1.4345295856303,0.00932270676396949,0,Confirmed
micex_cbi_tr,1.36148595104696,-0.0819265234937569,0,Confirmed
ts_km,1.33142539879618,0.0194745368717076,0,Confirmed
fitness_km,1.322287855311,-0.025114148095519,0,Confirmed
hospice_morgue_km,1.27690970410867,-0.0102358083425625,0,Confirmed
additional_education_km,1.24431988606702,-0.0131565356443896,0,Confirmed
power_transmission_line_km,1.20611250536172,0.0355860650857146,0,Confirmed
green_part_1500,1.1928402678258,-0.0385684397471398,0,Confirmed
indust_part,1.17788445552436,-0.0524025213106308,0,Confirmed
mosque_km,1.09821096273195,-0.0366918487951119,0,Confirmed
brent,1.08816114533628,0.0860285885969252,0,Confirmed
trc_count_1500,1.07385142271212,0.190757066070817,0,Confirmed
public_transport_station_km,1.05693767585859,0.0281525302314869,0,Confirmed
swim_pool_km,1.04893218872768,-0.00847724152733459,0,Confirmed
cafe_count_2000_price_1000,1.04444771356917,0.230770364984697,0,Confirmed
church_count_5000,1.0069652319295,0.20870269745111,0,Confirmed
usdrub,1.00242448539464,-0.0859868889608494,0,Confirmed
mkad_km,0.929736376902514,0.0964132728514541,0,Confirmed
cafe_count_1500,0.917909665587084,0.231293459137216,0,Confirmed
market_shop_km,0.912771514427007,-0.0339374568617348,0,Confirmed
bus_terminal_avto_km,0.909348535441423,-0.0303566267943995,0,Confirmed
ice_rink_km,0.900368242464781,-0.0250855718859495,0,Confirmed
exhibition_km,0.900075248308809,-0.0163762405888158,0,Confirmed
stadium_km,0.893684101527466,-0.0289434711981572,0,Confirmed
water_treatment_km,0.88484677025438,0.0149307708400647,0,Confirmed
workplaces_km,0.871330960150886,-0.0178654252460266,0,Confirmed
green_part_5000,0.823915475779043,-0.0608667319572837,0,Confirmed
eurrub,0.815078070852323,-0.0799817995082577,0,Confirmed
rent_price_3room_bus,0.81088958018733,-0.0314297446523076,0,Confirmed
trc_sqm_5000,0.792935505215292,0.130634708989232,0,Confirmed
office_sqm_1500,0.78923757721406,0.179789146509913,0,Confirmed
cemetery_km,0.788139033263249,0.0483618003541963,0,Confirmed
cafe_count_2000_price_2500,0.785211301312545,0.230536054352068,0,Confirmed
railroad_station_avto_km,0.764640283263745,-0.0140940391695237,0,Confirmed
ID_railroad_station_avto,0.756572927080285,-0.00528292099931044,0,Confirmed
industrial_km,0.741611296141765,0.116897593293992,0,Confirmed
railroad_station_walk_km,0.7267128600212,-0.0208025639539685,0.001547216321821,Confirmed
park_km,0.707666840463955,-0.0110020890999658,0,Confirmed
university_km,0.70682490577393,-0.0247986793541268,0,Confirmed
church_synagogue_km,0.702651543565357,-0.0219318036376154,0,Confirmed
school_km,0.700536726772891,0.0203626581701351,0,Confirmed
detention_facility_km,0.692500157808435,-0.0495067132223811,0,Confirmed
cafe_count_3000_price_2500,0.691256958120487,0.229715803513134,0,Confirmed
green_part_1000,0.690954020723927,-0.0327988902538898,0,Confirmed
prom_part_2000,0.687394856169114,-0.0521864124833661,0,Confirmed
hospital_beds_raion,0.677757057201933,0.0479929175768236,0.468334513413579,Confirmed
green_part_2000,0.671707957896793,-0.0404132270117499,0.00049825610363727,Confirmed
preschool_km,0.665173628450992,0.0205839631961014,0,Confirmed
office_sqm_5000,0.64617761971122,0.186094679347967,0,Confirmed
basketball_km,0.64508798785012,-0.0167996177451055,0,Confirmed
incineration_km,0.631273585914472,0.0322427910804871,0,Confirmed
prom_part_1500,0.629337158223505,-0.0485841157923501,0,Confirmed
thermal_power_plant_km,0.621345591629411,-0.0097777356417309,0,Confirmed
kitch_sq,0.616635441736392,-0.00033195493763457,0.251016180211365,Rejected
public_transport_station_min_walk,0.615043197477013,0.0281525302276354,0,Confirmed
zd_vokzaly_avto_km,0.614785630718985,-0.0650026226588654,0,Confirmed
big_church_km,0.61257683188956,-0.00266361213391983,0,Confirmed
office_km,0.61089222597317,-0.0348229278920229,0,Confirmed
big_market_km,0.609593859713371,0.00210305586718063,0,Confirmed
nuclear_reactor_km,0.603774191478078,-0.0283163107353199,0,Confirmed
